StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;Q1.1_consent;Condition 1 (High)Â ;Condition 2 (Low);Q3.1_attention;Q4.2_understanding;1_time_First Click;1_time_Last Click;1_time_Page Submit;1_time_Click Count;1_answer;1_solved;1_insight;1_sharing;2_time_First Click;2_time_Last Click;2_time_Page Submit;2_time_Click Count;2_answer;2_solved;2_insight;2_sharing;3_time_First Click;3_time_Last Click;3_time_Page Submit;3_time_Click Count;3_answer;3_solved;3_insight;3_sharing;4_time_First Click;4_time_Last Click;4_time_Page Submit;4_time_Click Count;4_answer;4_solved;4_insight;4_sharing;5_time_First Click;5_time_Last Click;5_time_Page Submit;5_time_Click Count;5_answer;5_solved;5_insight;5_sharing;6_time_First Click;6_time_Last Click;6_time_Page Submit;6_time_Click Count;6_answer;6_solved;6_insight;6_sharing;implicit_motivation;time_First Click;time_Last Click;time_Page Submit;time_Click Count;answer_supp;solved_supp;Q8.1;PROLIFIC_PID;Q_TotalDuration;condition;FL_5_DO_FL_27;FL_5_DO_FL_30;
06/05/2022 17:33;06/05/2022 17:38;0;174.251.164.113;100;289;1;06/05/2022 17:38;R_2TRxf3egQVabOqF;;;;;33.9449;-117.3834;anonymous;EN;1;;;I pay attention;1;;;;;;;;;;;;;;;;;;;;;;;;;26.963;35.487;36.357;2;He is a polygamist.;1;2;2;12.323;28.358;29.618;2;She hit the ball against a wall.;1;3;2;14.385;55.184;71.385;3;Jen did not drop her clutch on the road.;2;2;2;2;;;;;;;;6140c38ec9e5109e65060a70;289;0;;1;
06/05/2022 17:33;06/05/2022 17:40;0;71.217.81.140;100;428;1;06/05/2022 17:40;R_3nUeHcqt53dRTbJ;;;;;35.332;-78.9212;anonymous;EN;1;;;I pay attention;1;155.724;155.724;183.57;1;The man lives in a place where polygamy is more commonplace.;3;1;1;31.137;31.137;36.319;1;I do not know.;2;1;1;47.185;47.185;54.03;1;It was in the afternoon.;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;5ed427e3bcd0c00b58a177c0;428;1;1;;
06/05/2022 17:30;06/05/2022 17:40;0;107.197.223.241;100;621;1;06/05/2022 17:40;R_2aVVDVIXH9b7t7a;;;;;34.0758;-118.3764;anonymous;EN;1;;;I pay attention ;1;128.46;128.46;152.127;1;The marriages werenâ€™t official?;2;5;6;119.132;119.132;128.128;1;It was a windy day ;2;6;5;173.064;173.064;184.956;1;It was patent leather ;2;4;4;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;60fdaa5dc7b63d3c13b50839;621;1;1;;
06/05/2022 17:38;06/05/2022 17:43;0;76.31.45.227;100;299;1;06/05/2022 17:43;R_2do9JLyxpJhJtbA;;;;;29.7335;-95.5564;anonymous;EN;1;;;I pay attention;1;15.05;15.05;24.294;1;He's an officiant.;1;6;6;40.945;40.945;62.278;1;She hit it straight up in the air.;1;3;7;43.352;43.352;58.143;1;It was still daylight.;1;2;7;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;5f5fc8153ba37c07caa9b45e;299;1;1;;
06/05/2022 17:42;06/05/2022 17:46;0;73.75.229.151;100;216;1;06/05/2022 17:46;R_0vLshkKErpF24q5;;;;;42.055;-87.6951;anonymous;EN;1;;;I pay attention;1;;;;;;;;;;;;;;;;;;;;;;;;;9.377;9.688;19.654;2;The man lives in a town where polygamy is legal. ;1;3;4;24.271;24.271;59.389;1;Denise means she will hit a tennis ball towards a target. Once the ball hits the target, it will come back to her. ;1;3;4;23.442;23.442;44.304;1;Jen was able to see her black leather clutch because the material of the clutch reflected the streetlights. ;1;3;4;2;;;;;;;;610462fe9130a29881eeb085;216;0;;1;
06/05/2022 17:44;06/05/2022 17:47;0;50.233.173.154;100;173;1;06/05/2022 17:47;R_1dtw8A8iTR2Qgmw;;;;;47.6859;-122.2994;anonymous;EN;1;;;I pay attention;1;;;;;;;;;;;;;;;;;;;;;;;;;16.494;16.494;33.853;1;Polygamy;1;3;3;16.402;16.402;23.894;1;She hit it straight up in the air;1;4;5;4.19;10.558;26.693;3;It had shiny pieces;2;3;3;2;;;;;;;;5cf8529eb13a580001bdc7d9;173;0;;1;
06/05/2022 17:49;06/05/2022 17:50;0;72.227.227.194;100;37;1;06/05/2022 17:50;R_3w0NqI2RTqdlxwl;;;;;40.7341;-73.7962;anonymous;EN;1;;;I pay attention ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61401d8a8cc0d83abd7bcca9;37;;;;
06/05/2022 17:49;06/05/2022 17:52;0;104.167.180.92;100;149;1;06/05/2022 17:52;R_3JhnIKnbEV8P3Ul;;;;;33.7838;-84.4455;anonymous;EN;1;;;I pay attention;1;;;;;;;;;;;;;;;;;;;;;;;;;17.555;21.5;28.785;2;Polygamy is legal there;1;1;1;7.644;11.512;11.751;5;I do not know.;3;1;1;0.986;41.307;53.933;10;I do not know.;2;1;1;2;;;;;;;;5fb97228ff45687f38da7813;149;0;;1;
06/05/2022 17:46;06/05/2022 17:52;0;141.155.128.8;100;344;1;06/05/2022 17:52;R_2bTA0xvB2fm7Cyn;;;;;40.8275;-73.1225;anonymous;EN;1;;;I pay attention;1;2.064;48.008;52.623;3;I do not know;3;1;1;23.597;23.597;31.444;1;She hit the ball straight up in the air;1;6;4;48.532;56.998;57.305;2;Her handles were a different color;2;5;3;;;;;;;;;;;;;;;;;;;;;;;;;1;52.459;52.459;96.875;1;I do not know;3;;60d11f2e1a4755b309e536d7;344;1;1;;
06/05/2022 17:46;06/05/2022 17:53;0;152.86.88.44;100;418;1;06/05/2022 17:53;R_2Vm53vHj7YZ5kBy;;;;;36.3125;-82.377;anonymous;EN;1;;;I pay attention;1;149.931;149.931;154.583;1;I do not know;2;7;5;24.257;24.257;39.301;1;She put English on the tennis ball so that it had much spin and curved back to her;2;5;5;40.428;40.428;46.457;1;I do not know;2;5;2;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;5727d93522e522000e7a0a3c;418;1;1;;
06/05/2022 17:52;06/05/2022 17:56;0;24.92.125.109;100;246;1;06/05/2022 17:56;R_2dGBNlK5hSySrdN;;;;;31.0262;-97.6131;anonymous;EN;1;;;I pay attention;1;;;;;;;;;;;;;;;;;;;;;;;;;17.491;17.491;22.88;1;I do not know;2;1;1;14.796;25.644;31.576;3;she hit it into a wall;1;4;4;20.738;21.754;26.679;2;i do not know;2;1;1;1;15.802;20.299;25.263;3;i do not know;2;;5e93738e5156380617967010;246;0;;1;
06/05/2022 17:53;06/05/2022 17:57;0;71.139.47.155;100;223;1;06/05/2022 17:57;R_3M6tZKrF5C0VCGe;;;;;30.1193;-97.7396;anonymous;EN;1;;;I pay attention;1;14.741;14.741;22.564;1;He is a minister overseeing the marriages;1;6;4;33.305;33.305;36.905;1;I do not know;2;4;3;29.479;29.479;32.68;1;I do not know;2;7;4;;;;;;;;;;;;;;;;;;;;;;;;;1;13.851;13.851;23.459;1;The person has four children;2;;61644f9207b1333d1caf3e5e;223;1;1;;
