StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1_consent,Q2.1,Q2.2,Q3.1_attention,Q4.2_understanding,11_Q5.1_First Click,11_Q5.1_Last Click,11_Q5.1_Page Submit,11_Q5.1_Click Count,11_answer,11_solved,11_insight,11_sharing,12_Q5.1_First Click,12_Q5.1_Last Click,12_Q5.1_Page Submit,12_Q5.1_Click Count,12_answer,12_solved,12_insight,12_sharing,15_Q5.1_First Click,15_Q5.1_Last Click,15_Q5.1_Page Submit,15_Q5.1_Click Count,15_answer,15_solved,15_insight,15_sharing,14_time_First Click,14_time_Last Click,14_time_Page Submit,14_time_Click Count,14_answer,14_solved,14_insight,14_sharing,16_time_First Click,16_time_Last Click,16_time_Page Submit,16_time_Click Count,16_answer,16_solved,16_insight,16_sharing,40_time_First Click,40_time_Last Click,40_time_Page Submit,40_time_Click Count,40_answer,40_solved,40_insight,40_sharing,implicit_motivation,answer_supp,solved_supp,Q8.1,PROLIFIC_PID,Q_TotalDuration,condition,FL_5_DO_FL_27,FL_5_DO_FL_30
2022-04-27 17:03:15,2022-04-27 17:11:41,0,75.147.177.89,100,506,1,2022-04-27 17:11:42,R_27eVfdcrcPBoBbs,,,,,47.0111,-122.875,anonymous,EN,1,,,I pay attention,1,,,,,,,,,,,,,,,,,,,,,,,,,2.588,272.166,272.92,48,"King of diamonds, queen of hearts, jack of spades",2,1,1,10.722,17.165,19.736,2,16,3,1,1,11.252,66.799,70.862,9,I do not know,2,1,1,2,,,,60f0666751e820d359e5a325,506,0,,1
2022-04-27 17:07:25,2022-04-27 17:13:11,0,73.93.196.189,100,345,1,2022-04-27 17:13:12,R_pryjLTncdbmXm37,,,,,34.9535,-120.4348,anonymous,EN,1,,,"I pay attention ",1,,,,,,,,,,,,,,,,,,,,,,,,,48.567,48.567,117.989,1,"Jack diamond, queen hearts, king spades ",2,4,5,27.32,27.32,31.393,1,31,1,5,5,16.184,58.416,59.014,2,Full the 99l container to 86l,2,5,4,2,,,,5c5dba4ed86a7f000191e5d5,345,0,,1
2022-04-27 17:11:08,2022-04-27 17:14:30,0,174.17.27.208,100,201,1,2022-04-27 17:14:30,R_2zI2x9WUzBlUVzS,,,,,33.4342,-111.8454,anonymous,EN,1,,,I pay attention,1,8.471,8.471,11.358,1,"He is the officiant ",1,4,5,36.926,41.944,54.749,2,A mirror? (But that would be contact with another object),2,6,6,25.061,25.577,41.71,2,"Because it jutted out from the road ",2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,6163437195ee718c35a1610a,201,1,1,
2022-04-27 17:09:01,2022-04-27 17:18:04,0,172.58.59.189,100,542,1,2022-04-27 17:18:04,R_1gijrC9ThTkG2Ae,,,,,39.7351,-105.0269,anonymous,EN,1,,,I pay attention,1,,,,,,,,,,,,,,,,,,,,,,,,,1.656,39.352,40.117,4,I don't know,3,1,1,37.93,60.549,62.854,3,6 matches,3,1,4,5.885,12.857,18.127,2,I don't know,2,4,5,1,Lettuce,3,,6018aeeb0fa3e419a12c1423,542,0,,1
2022-04-27 17:12:00,2022-04-27 17:26:51,0,76.230.242.102,100,891,1,2022-04-27 17:26:52,R_cFOVuniU88C2Fvb,,,,,34.1531,-118.4296,anonymous,EN,1,,,I pay attention,1,16.897,132.935,133.973,5,"He performs a wedding ceremony, a minister probably.",1,6,7,84.349,84.349,121.951,1,She hit the ball up in the air and the gravity did the rest.,1,6,6,71.982,71.982,93.127,1,It was daytime,1,7,7,,,,,,,,,,,,,,,,,,,,,,,,,1,I do not know.,2,,607ec28e6a0bde56a9d69ddc,891,1,1,
2022-04-27 17:27:16,2022-04-27 17:30:09,0,107.133.61.3,100,173,1,2022-04-27 17:30:09,R_31Tb88wbOycQBeh,,,,,35.2135,-80.8218,anonymous,EN,1,,,"I pay attention ",1,,,,,,,,,,,,,,,,,,,,,,,,,42.059,42.059,44.652,1,"I don’t know ",2,4,1,11.651,11.651,22.716,1,"16 ",3,4,1,3.507,3.507,5.812,1,"I don’t know ",1,4,2,2,,,,5ec735fc4131bd17f438838c,173,0,,1
2022-04-27 17:25:41,2022-04-27 17:31:06,0,108.5.6.129,100,324,1,2022-04-27 17:31:06,R_3rUlNszmAEllcyf,,,,,40.0881,-74.1963,anonymous,EN,1,,,I pay attention,1,63.3,63.3,69.961,1,I dont know,2,7,7,43.2,43.2,51.046,1,I do not know,2,4,4,47.314,47.314,54.728,1,She was a cat,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,1,I do not know,2,,60d76140337e60ae26f7fce9,324,1,1,
2022-04-27 17:16:52,2022-04-27 17:31:11,0,209.206.90.77,100,859,1,2022-04-27 17:31:11,R_1C2b7WgxagSRE6c,,,,,38.9141,-107.9241,anonymous,EN,1,,,I pay attention,1,,,,,,,,,,,,,,,,,,,,,,,,,138.249,138.249,183.535,1,I do not know,3,1,1,55.768,55.768,60.308,1,17,2,6,4,142.003,142.003,194.287,1,Eliminate 36 L from the largest container.,2,6,4,2,,,,614a508a459c858a5ac5d2e1,859,0,,1
2022-04-27 17:28:14,2022-04-27 17:31:39,0,174.57.122.46,100,204,1,2022-04-27 17:31:39,R_3qwVzS3ig6iTlMI,,,,,39.6659,-74.9658,anonymous,EN,1,,,I pay attention,1,,,,,,,,,,,,,,,,,,,,,,,,,15.142,23.099,23.527,2,No,2,2,2,0.82,20.768,21.212,2,31,1,4,2,14.259,14.259,51.041,1,pour 99L and then fill the 14L with 13L of water,1,4,2,1,chicken celery lettuce,1,,60efb328e17a3ab1940259a0,204,0,,1
2022-04-27 17:31:04,2022-04-27 17:32:17,0,72.66.108.96,100,72,1,2022-04-27 17:32:17,R_1oI4QqR8BboWA7n,,,,,38.9965,-76.934,anonymous,EN,1,,,I pay attention,1,,,,,,,,,,,,,,,,,,,,,,,,,4.002,4.002,8.46,1,I do not know,2,4,5,1.206,1.206,7.038,1,I do not know,3,4,3,3.487,3.487,7.774,1,I do not know,3,4,4,2,,,,5dd32178c5fa30341133264e,72,0,,1
2022-04-27 17:17:11,2022-04-27 17:32:18,0,73.19.202.3,100,906,1,2022-04-27 17:32:19,R_87gDo0TuN94V1AJ,,,,,35.9243,-83.9965,anonymous,EN,1,,,I pay attention,1,,,,,,,,,,,,,,,,,,,,,,,,,243.608,243.608,291.52,1,"Jack of hearts, king of diamonds, queen of spades",1,6,6,24.189,54.622,62.485,4,16 matches,2,3,5,83.186,83.206,196.216,2,You would need to fill the 25L container 3 times and the 11L container 1 time. 3x25=75 75+11=86L,1,5,6,1,"Roast chicken, celery and lettuce ",1,,610da052e73bf3db58b1402f,906,0,,1
