StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1_consent,Condition 1 (High) ,Condition 2 (Low),Q3.1_attention,Q4.2_understanding,1_time_First Click,1_time_Last Click,1_time_Page Submit,1_time_Click Count,1_answer,1_solved,1_insight,1_sharing,1_consume,2_time_First Click,2_time_Last Click,2_time_Page Submit,2_time_Click Count,2_answer,2_solved,2_insight,2_sharing,2_consume,3_time_First Click,3_time_Last Click,3_time_Page Submit,3_time_Click Count,3_answer,3_solved,3_insight,3_sharing,3_consume,4_time_First Click,4_time_Last Click,4_time_Page Submit,4_time_Click Count,4_answer,4_solved,4_insight,4_sharing,4_consume,5_time_First Click,5_time_Last Click,5_time_Page Submit,5_time_Click Count,5_answer,5_solved,5_insight,5_sharing,5_consume,6_time_First Click,6_time_Last Click,6_time_Page Submit,6_time_Click Count,6_answer,6_solved,6_insight,6_sharing,6_consume,implicit_motivation,time_First Click,time_Last Click,time_Page Submit,time_Click Count,answer_supp,solved_supp,Q8.1,PROLIFIC_PID,Q_TotalDuration,condition
2023-05-11 11:15:02,2023-05-11 11:18:37,0,152.117.104.135,100,215,1,2023-05-11 11:18:37,R_1gH0zSaxxDkn4ZL,,,,,42.0373,-93.6005,anonymous,EN,1,,,I pay attention,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.826,18.826,27.336,1,living in hamony,1,6,6,6,30.423,30.423,40.829,1,she is experienced,1,6,6,6,14.747,58.717,81.469,5,she has good  eyes,1,6,6,6,2,,,,,,,,638fdf87700dd1228bade2e1,215,0
2023-05-11 11:13:39,2023-05-11 11:18:39,0,172.56.216.3,100,300,1,2023-05-11 11:18:40,R_3Mg9hPse0BqeA4z,,,,,39.9843,-75.2266,anonymous,EN,1,,,I pay attention,1,18.474,47.097,47.897,6,He is a priest (or some other qualified figure) and performed the marriage ceremonies,1,6,3,5,26.508,26.508,33.563,1,She hit it directly up into the air,1,6,3,5,25.268,25.268,28.578,1,It was daylight,1,5,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,49.513,49.513,56.098,1,I do not know,2,,60fd05d893767fcb40666fc7,300,1
2023-05-11 11:13:38,2023-05-11 11:18:43,0,68.9.71.228,100,304,1,2023-05-11 11:18:44,R_29nxpOAykiFy7dJ,,,,,41.7041,-72.679,anonymous,EN,1,,,I pay attention,1,28.107,28.107,33.617,1,She changed her name 20 times.,2,7,7,7,36.498,54.322,65.12,3,The tennis ball was tethered to the racket with a string.,2,7,2,3,27.918,27.918,39.097,1,It sunk into the new pavement because it was still wet.,2,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,5d62886927a84f00010fbbb4,304,1
2023-05-11 11:16:07,2023-05-11 11:18:51,0,174.72.231.141,100,163,1,2023-05-11 11:18:52,R_217ylKRhICzNUjw,,,,,36.175,-115.1372,anonymous,EN,1,,,I pay attention,1,1.317,1.317,19.902,1,He was a minster,1,1,1,1,0.946,0.946,31.639,1,It hit the wall,2,1,1,1,30.57,30.57,37.711,1,I do not know,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,5cc8039e3ef93000171c96b8,163,1
2023-05-11 11:15:23,2023-05-11 11:19:01,0,67.82.208.81,100,218,1,2023-05-11 11:19:02,R_2X6WFRGeGIorCve,,,,,40.5704,-74.5369,anonymous,EN,1,,,I pay attention,1,17.597,24.358,25.158,2,he is a minister,1,2,2,2,20.825,21.673,28.7,3,she hit it up vertically,1,1,1,1,18.767,46.425,51.221,4,It was day time.,1,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,601e13b872774f263d64acac,218,1
2023-05-11 11:16:25,2023-05-11 11:19:05,0,107.201.132.162,100,160,1,2023-05-11 11:19:06,R_1Lkd9gjmSdMpPLL,,,,,34.4463,-118.5356,anonymous,EN,1,,,I pay attention,1,12.885,12.885,20.381,1,He was the priest.,1,1,4,4,22.997,22.997,36.31,1,She hit it against the wind,2,4,4,4,19.98,23.943,28.383,3,I do not know.,2,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,63636efc209a7701cd2f9a64,160,1
2023-05-11 11:15:01,2023-05-11 11:19:08,0,71.128.163.7,100,246,1,2023-05-11 11:19:09,R_2EGpp5OCxw3Pf12,,,,,35.8677,-86.4174,anonymous,EN,1,,,I pay attention,1,17.261,17.644,25.322,2,He was the official marrying them.,1,6,2,7,28.968,28.968,34.633,1,She hit it upwards,1,6,3,7,36.714,36.714,41.019,1,I do not know,2,6,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.191,1.661,31.644,2,I do not know,2,,580d5d1f357e890001dd14ce,246,1
2023-05-11 11:14:05,2023-05-11 11:19:12,0,173.28.31.97,100,306,1,2023-05-11 11:19:13,R_0NECtzdyzFftfrj,,,,,42.4709,-92.3347,anonymous,EN,1,,,I pay attention,1,16.165,16.165,29.239,1,He is ordained to perform weddings,1,4,7,7,34.031,34.031,38.983,1,gravity,2,1,1,6,47.97,108.191,110.699,4,"She stepped on it. ",2,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,630d42ab004b0f34fcf4b52e,306,1
2023-05-11 11:14:58,2023-05-11 11:19:26,0,174.109.52.183,100,268,1,2023-05-11 11:19:27,R_8zYMokje1n67wmB,,,,,35.7109,-78.6594,anonymous,EN,1,,,I pay attention,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.16,10.16,14.226,1,I do not know.,2,2,1,1,2.507,20.872,28.829,3,She would hit the ball against a wall.,1,2,1,1,1.515,27.591,36.481,3,I do not know.,2,2,1,2,2,,,,,,,,5ec6747917fbef0476a0841a,268,0
2023-05-11 11:15:02,2023-05-11 11:19:32,0,96.245.185.14,100,270,1,2023-05-11 11:19:33,R_30d7cfcv31vmqWB,,,,,40.0146,-75.7136,anonymous,EN,1,,,I pay attention,1,19.167,19.167,33.246,1,He’s a priest,1,2,2,4,53.201,65.698,65.874,3,It was windy,2,1,1,1,37.882,78.42,81.024,3,"I don’t know ",2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,61bb396b40db417c1a138e43,270,1
