Continent,References,Culture,Example of Riddle,PSF,Reconstruction,Solvable,Social Ritual
,"Anderson, W. W. (1983). Children’s play and games in rural Thailand: a study in enculturation and socialization. University Microfilms. https://ehrafworldcultures.yale.edu/document?id=ao07-021",Central Thai,"What is it? Black as a bear; the more it's beaten, the more it bites. Black as a tick; the more it bites, the more it is beaten A: a mosquito",1,1,1,NA
,"Adriani, N., & Kruijt, A. C. (1951). The Bare’e-speaking Toradja of central Celebes (the East Toradja): third volume. In Verhandelingen (Issue no. 1, p. HRAF MS: vii, 651 [original: viii, 484 ]). Noord-Hollandsche Uitgevers Maatschappij. https://ehrafworldcultures.yale.edu/document?id=og11-004",Eastern Toraja,NA,1,NA,1,NA
,"Foning, A. R. (1987). Lepcha, my vanishing tribe. Sterling Publishers. https://ehrafworldcultures.yale.edu/document?id=ak05-012",Lepcha,NA,0,NA,NA,1
,"Naik, T. B. T. B. (1956). The Bhils: a study. Bharatiya Adimjati Sevak Sangh. https://ehrafworldcultures.yale.edu/document?id=aw25-004",Bhil,NA,0,NA,NA,NA
,"Elwin, V. (1947). The Muria and their ghotul. Oxford University Press. https://ehrafworldcultures.yale.edu/document?id=aw32-002",Gond,NA,0,NA,NA,NA
,"Rivers, W. H. R. (William H. R. (1906). The Todas. Macmillan. https://ehrafworldcultures.yale.edu/document?id=aw60-001",Toda,NA,0,NA,NA,NA
,Koentjaraningrat. (1985). Javanese culture. Oxford University Press. https://ehrafworldcultures.yale.edu/document?id=oe05-037,Javanese,NA,0,NA,1,NA
,"Sather, C. (1975). Literary form in Bajau Laut riddles. Sarawak Museum Journal, Vol. 23(no. 44), 187–206. https://ehrafworldcultures.yale.edu/document?id=oa08-012",Sama-Bajau,It looks the same but tastes different,0,0,1,NA
,"Huard, P., & Durand, M. M. (ca. 1990). Viet-Nam, civilization and culture. Imprimerie Nationale ; Ecole francaise d’Extrême-Orient. https://ehrafworldcultures.yale.edu/document?id=am11-179",Vietnamese,"White feet, black body, bearing a cap in the shape of a lotus flower, and asisting the Supreme Emperor.- “An incense stick",0,1,1,NA
Europe,"Sokolov, I. M. (I︠U︡riĭ M., & Smith, C. R. (1950). Russian folklore. In American Council of Learned Societies. Russian Translation Project (pp. viii, 760). The MacMillan Company. https://ehrafworldcultures.yale.edu/document?id=rf10-053",Russians,"She is red [pretty], but she is not a maid; she is green, but she is not a grove of trees” (a carrot);",0,1,1,NA
,"Itkonen, T. I., & Minn, E. K. (ca. 1948). The Lapps in Finland up to 1945. Vol. 1. Werner Söderström Osakeyhtiö. https://ehrafworldcultures.yale.edu/document?id=ep04-002",Saami,"Higher than the mountains, lower than the twigs. The path",1,1,1,NA
"Middle America 
& 
the Caribbean","Beckwith, M. W. (1929). Black roadways: a study of Jamaican folk life. The University of North Carolina Press. https://ehrafworldcultures.yale.edu/document?id=sy01-001",Jamaicans,"“Send boy to fetch doctor, doctor come before boy,” is explained as a boy, sent up a tree after a  water cocoanut, who throws down the cocoanut before descending himself",0,1,1,NA
,"Seda Bonilla, E. (1973). Social change and personality in a Puerto Rican agrarian reform community. Northwestern University Press. https://ehrafworldcultures.yale.edu/document?id=su01-006",Puerto Ricans,NA,0,NA,NA,NA
,"Taylor, D. M. (1951). The Black Carib of British Honduras. In Publication in anthropology (p. 185). Wenner-Gren Foundation for Anthropological Research, Inc. https://ehrafworldcultures.yale.edu/document?id=sa12-007",Garifuna,Q: A child that commands its mother. The rudder on a canoe,0,1,1,NA
,"Nordenskiöld, E., érez Kantule, R., & Wassén, H. (1938). An historical and ethnological survey of the Cuna Indians. In Comparative ethnographical studies: Vol. vol. 10 (pp. xxvii, 686 , plates). Göteborg Museum. https://ehrafworldcultures.yale.edu/document?id=sb05-001",Kuna,NA,1,NA,NA,NA
,"Burns, A. F. (Allan F. (1983). An epoch of miracles: oral literature of the Yucatec Maya. In The Texas Pan American series (pp. xiv, 266). University of Texas Press. https://ehrafworldcultures.yale.edu/document?id=nv10-018",Maya,"Goes in hungry, comes out full. A: A bucket used to get water from a well",0,1,1,1
Middle East,"Friedl, E. (1997). Children of Deh Koh: young life in an Iranian village. Syracuse University Press. https://ehrafworldcultures.yale.edu/document?id=ma12-007",Lur,"“A smooth, flat plain full of round rocks” A: bread cloth with balls of dough",0,1,NA,1
North America,"Kinietz, W. V. (William V. (1940). Huron. In The Indians of the western Great Lakes 1615-1760 (Issue no. 10, pp. iv – v, 1–160, 330–338). University of Michigan Press. https://ehrafworldcultures.yale.edu/document?id=ng05-005",Huron/Wendat,NA,0,NA,NA,1
,"Tooker, E. (1970). The Iroquois ceremonial of Midwinter. Syracuse University Press. https://ehrafworldcultures.yale.edu/document?id=nm09-055",Iroquois,NA,1,NA,NA,1
,"Kan, S. (1989). Symbolic immortality: the Tlingit potlatch of the nineteenth century. In Smithsonian series in ethnographic inquiry (pp. xi, 390). Smithsonian Institution Press. https://ehrafworldcultures.yale.edu/document?id=na12-032",Tlingit,"Where has this raven been last year and what did he eat?” The correct answer would be, “This raven has been to Chilkat, where he ate lots of salmon skins.”",1,0,1,1
,"Johnson, G. B. (1930). Folk culture on St. Helena Island, South Carolina. University of North Carolina Press. https://ehrafworldcultures.yale.edu/document?id=nn23-010",Sea Islanders,"some are similar to African discussion riddles, some are similar to the classic english question",0,0,1,1
Oceania,"Beckwith, M. W., & Loumala, K. (1970). Hawaiian mythology. University of Hawaii Press. https://ehrafworldcultures.yale.edu/document?id=ov05-003",Hawaiians,NA,0,1,1,1
South America,"Price, R., & Price, S. (1991). Two evenings in Saramaka. University of Chicago Press. https://ehrafworldcultures.yale.edu/document?id=sr15-002",Saramaka,NA,1,NA,0,1
